VISUAL_ID,PPV_OPERATION,PPV_LOT,PPV_TEST_PROGRAM,PPV_IB,PPV_FB,PPV_DATA_BIN,PPV_MODULE
D3MX382400222,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400258,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400166,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500559,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500675,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400243,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400109,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500674,8748,J316003ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3GH832500624,8748,J316003ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D36746RF00128,8748,J316003ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3MX382400109,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400011,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400148,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400331,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400230,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400085,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400316,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400010,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400007,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400309,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400018,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400084,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400074,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400040,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400013,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400120,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400221,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400308,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D31K8R3400192,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400192,8748,J316002ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00036,8748,J316003ELT,GNRSDEPAE2313I,71,7121,71210010,CR03SHST4938
D36746RF00067,8748,J316003ELT,GNRSDEPAE2313I,71,7121,71210010,CR03SHST4938
D3GH832500622,8748,J316003ELT,GNRSDEPAE2313I,71,7121,71210010,CR03SHST4938
D36746RF00062,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500656,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3MX382400257,8748,J316002ELT,GNRSDEPAE2313I,71,7118,71180040,CR03SHST4938
D3MX382400238,8748,J316002ELT,GNRSDEPAE2313I,80,8090,80902135,CR03SHST4938
D3GH832500610,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500621,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00129,8748,J316003ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D3GH832500558,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00142,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00154,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
D36746RF00140,8748,J316005ELT,GNRSDEPAE2313I,1,100,1000000,CR03SHST4938
